"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","","Cancelar a criação de uma tarefa antes de salvar","Criação de Tarefas","2026-08-11","unknown","","","","",""
"","168","E que o usuário está na tela principal de listagem de tarefas","Criação de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","6300","Quando o usuário cria uma tarefa com o título ""Tarefa em tempo real""","Gerenciamento de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","77","Então a tarefa ""Tarefa temporária"" não deve ser exibida na lista de tarefas","Criação de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","0","Dado que o aplicativo Tasks.org foi iniciado","Criação de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","213","Dado que o usuário está na tela principal de listagem de tarefas","Gerenciamento de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","58","E o aplicativo é reaberto","Gerenciamento de estados das Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","","Tentar criar uma tarefa sem informar o título","Criação de Tarefas","2026-08-11","unknown","","","","",""
"","1342","E a tarefa ""Comprar mantimentos"" deve estar com o status ""pendente""","Criação de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","","Tarefa criada permanece após reiniciar o aplicativo","Gerenciamento de estados das Tarefas","2026-08-11","unknown","","","","",""
"","249","Quando o aplicativo é fechado completamente","Gerenciamento de estados das Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","2095","Quando o usuário abre a tarefa ""Reunião de equipe""","Gerenciamento de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","6301","E que existe uma tarefa cadastrada com o título ""Tarefa a ser excluída""","Exclusão de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","4221","E informa o título ""Tarefa temporária""","Criação de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","10154","Então uma mensagem informando que o título é obrigatório deve ser exibida","Criação de Tarefas","2026-08-11","failed","2026-08-11","","","",""
"","1950","Então a tarefa ""Tarefa persistente"" deve ser exibida na lista de tarefas","Gerenciamento de estados das Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","","Reabrir uma tarefa concluída","Gerenciamento de estados das Tarefas","2026-08-11","unknown","","","","",""
"","52","Então a lista de tarefas deve exibir uma mensagem indicando que não há tarefas","Gerenciamento de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","2459","E descarta as alterações sem salvar","Edição de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","2868","E altera o título de ""Pagar contas"" para ""Pagar contas do mês""","Edição de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","5196","Dado que existe uma tarefa cadastrada com o título ""Pagar contas""","Edição de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","186","E que o usuário está na tela principal de listagem de tarefas","Criação de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","5643","E que existe uma tarefa cadastrada com o título ""Reunião de equipe""","Gerenciamento de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","5488","Quando o usuário cria uma tarefa com o título ""Preparar apresentação para segunda""","Criação de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","5364","Dado que existe uma tarefa cadastrada com o título ""Tarefa persistente""","Gerenciamento de estados das Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","2108","Quando o usuário abre a tarefa ""Tarefa a ser excluída""","Exclusão de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","192","Então a tarefa ""Tarefa a ser excluída"" não deve ser exibida na lista de tarefas","Exclusão de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","","Acessar os detalhes de uma tarefa a partir da lista","Gerenciamento de Tarefas","2026-08-11","unknown","","","","",""
"","734","E o usuário inicia a exclusão da tarefa","Exclusão de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","3426","Quando o usuário marca a tarefa ""Revisar relatório"" como ""concluída""","Gerenciamento de estados das Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","173","E que o usuário está na tela principal de listagem de tarefas","Gerenciamento de estados das Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","2622","E cancela a criação sem salvar","Criação de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","999","Então a tarefa ""Comprar leite"" deve ser exibida na lista de tarefas","Criação de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","0","Dado que o aplicativo Tasks.org foi iniciado","Criação de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","890","Então a tarefa ""Tarefa em tempo real"" deve ser exibida na lista de tarefas","Gerenciamento de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","317","Então a tarefa ""Lavar o carro e aspirar o interior"" deve ser exibida na lista de tarefas","Edição de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","5291","Dado que não existem tarefas cadastradas","Gerenciamento de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","2903","E altera o título de ""Lavar o carro"" para ""Lavar o carro e aspirar o interior""","Edição de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","786","E que o usuário está na tela principal de listagem de tarefas","Gerenciamento de estados das Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","","Excluir uma tarefa existente","Exclusão de Tarefas","2026-08-11","unknown","","","","",""
